Año	Mes	Dia	DiaSemana	Hora	Minuto	Cuenta	A/N
2018	7	3	1	       	15	40	1001	Normal
2018	7	3	1	       	15	50	999	Normal
2018	7	3	1	       	16	0	996	Normal
2018	7	3	1	       	16	10	1003	Normal
2018	7	3	1	       	16	20	1006	Normal
2018	7	3	1	       	16	30	1000	Normal
2018	7	3	1	       	16	40	996	Normal
2018	7	3	1	       	16	50	999	Normal
2018	7	3	1	       	17	0	997	Normal
2018	7	3	1	       	17	10	998	Normal
2018	7	3	1	       	17	20	1003	Normal
2018	7	3	1	       	17	30	999	Normal
2018	7	3	1	       	17	40	996	Normal
2018	7	3	1	       	17	50	999	Normal
2018	7	3	1	       	18	0	500	Normal
2018	7	3	1	       	18	10	498	Normal
2018	7	3	1	       	18	20	500	Normal
2018	7	3	1	       	18	30	500	Normal
2018	7	3	1	       	18	40	499	Normal
2018	7	3	1	       	18	50	500	Normal
2018	7	3	1	       	19	0	498	Normal
2018	7	3	1	       	19	10	501	Normal
2018	7	3	1	       	19	20	501	Normal
2018	7	3	1	       	19	30	499	Normal
2018	7	3	1	       	19	40	501	Normal
2018	7	3	1	       	19	50	499	Normal
2018	7	3	1	       	20	0	502	Normal
2018	7	3	1	       	20	10	500	Normal
2018	7	3	1	       	20	20	503	Normal
2018	7	3	1	       	20	30	501	Normal
2018	7	3	1	       	20	40	501	Normal
2018	7	3	1	       	20	50	498	Normal
2018	7	3	1	       	21	0	500	Normal
2018	7	3	1	       	21	10	501	Normal
2018	7	3	1	       	21	20	500	Normal
2018	7	3	1	       	21	30	498	Normal
2018	7	3	1	       	21	40	500	Normal
2018	7	3	1	       	21	50	499	Normal
2018	7	3	1	       	22	0	500	Normal
2018	7	3	1	       	22	10	498	Normal
2018	7	3	1	       	22	20	499	Normal
2018	7	3	1	       	22	30	501	Normal
2018	7	3	1	       	22	40	499	Normal
2018	7	3	1	       	22	50	501	Normal
2018	7	3	1	       	23	0	499	Normal
2018	7	3	1	       	23	10	499	Normal
2018	7	3	1	       	23	20	501	Normal
2018	7	3	1	       	23	30	499	Normal
2018	7	3	1	       	23	40	501	Normal
2018	7	3	1	       	23	50	500	Normal
2018	7	4	2	       	0	0	499	Normal
2018	7	4	2	       	0	10	501	Normal
2018	7	4	2	       	0	20	499	Normal
2018	7	4	2	       	0	30	502	Normal
2018	7	4	2	       	0	40	498	Normal
2018	7	4	2	       	0	50	498	Normal
2018	7	4	2	       	1	0	499	Normal
2018	7	4	2	       	1	10	499	Normal
2018	7	4	2	       	1	20	501	Normal
2018	7	4	2	       	1	30	502	Normal
2018	7	4	2	       	1	40	501	Normal
2018	7	4	2	       	1	50	497	Normal
2018	7	4	2	       	2	0	499	Normal
2018	7	4	2	       	2	10	501	Normal
2018	7	4	2	       	2	20	499	Normal
2018	7	4	2	       	2	30	500	Normal
2018	7	4	2	       	2	40	501	Normal
2018	7	4	2	       	2	50	501	Normal
2018	7	4	2	       	3	0	499	Normal
2018	7	4	2	       	3	10	500	Normal
2018	7	4	2	       	3	20	499	Normal
2018	7	4	2	       	3	30	499	Normal
2018	7	4	2	       	3	40	499	Normal
2018	7	4	2	       	3	50	499	Normal
2018	7	4	2	       	4	0	502	Normal
2018	7	4	2	       	4	10	501	Normal
2018	7	4	2	       	4	20	502	Normal
2018	7	4	2	       	4	30	501	Normal
2018	7	4	2	       	4	40	1000	Anomalia
2018	7	4	2	       	4	50	500	Normal
2018	7	4	2	       	5	0	500	Normal
2018	7	4	2	       	5	10	499	Normal
2018	7	4	2	       	5	20	499	Normal
2018	7	4	2	       	5	30	498	Normal
2018	7	4	2	       	5	40	501	Normal
2018	7	4	2	       	5	50	500	Normal
2018	7	4	2	       	6	0	499	Normal
2018	7	4	2	       	6	10	498	Normal
2018	7	4	2	       	6	20	499	Normal
2018	7	4	2	       	6	30	498	Normal
2018	7	4	2	       	6	40	500	Normal
2018	7	4	2	       	6	50	499	Normal
2018	7	4	2	       	7	0	1003	Normal
2018	7	4	2	       	7	10	1001	Normal
2018	7	4	2	       	7	20	1004	Normal
2018	7	4	2	       	7	30	1001	Normal
2018	7	4	2	       	7	40	996	Normal
2018	7	4	2	       	7	50	1002	Normal
2018	7	4	2	       	8	0	1002	Normal
2018	7	4	2	       	8	10	1000	Normal
2018	7	4	2	       	8	20	1001	Normal
2018	7	4	2	       	8	30	1001	Normal
2018	7	4	2	       	8	40	1000	Normal
2018	7	4	2	       	8	50	998	Normal
2018	7	4	2	       	9	0	992	Normal
2018	7	4	2	       	9	10	1002	Normal
2018	7	4	2	       	9	20	997	Normal
2018	7	4	2	       	9	30	1002	Normal
2018	7	4	2	       	9	40	1001	Normal
2018	7	4	2	       	9	50	998	Normal
2018	7	4	2	       	10	0	1002	Normal
2018	7	4	2	       	10	10	1001	Normal
2018	7	4	2	       	10	20	998	Normal
2018	7	4	2	       	10	30	999	Normal
2018	7	4	2	       	10	40	999	Normal
2018	7	4	2	       	10	50	1002	Normal
2018	7	4	2	       	11	0	999	Normal
2018	7	4	2	       	11	10	1002	Normal
2018	7	4	2	       	11	20	999	Normal
2018	7	4	2	       	11	30	1005	Normal
2018	7	4	2	       	11	40	999	Normal
2018	7	4	2	       	11	50	1002	Normal
2018	7	4	2	       	12	0	1002	Normal
2018	7	4	2	       	12	10	1002	Normal
2018	7	4	2	       	12	20	999	Normal
2018	7	4	2	       	12	30	1000	Normal
2018	7	4	2	       	12	40	1002	Normal
2018	7	4	2	       	12	50	995	Normal
2018	7	4	2	       	13	0	999	Normal
2018	7	4	2	       	13	10	1003	Normal
2018	7	4	2	       	13	20	1001	Normal
2018	7	4	2	       	13	30	999	Normal
2018	7	4	2	       	13	40	997	Normal
2018	7	4	2	       	13	50	1004	Normal
2018	7	4	2	       	14	0	1002	Normal
2018	7	4	2	       	14	10	1002	Normal
2018	7	4	2	       	14	20	1000	Normal
2018	7	4	2	       	14	30	998	Normal
2018	7	4	2	       	14	40	1001	Normal
2018	7	4	2	       	14	50	1002	Normal
2018	7	4	2	       	15	0	998	Normal
2018	7	4	2	       	15	10	1006	Normal
2018	7	4	2	       	15	20	999	Normal
2018	7	4	2	       	15	30	997	Normal
2018	7	4	2	       	15	40	998	Normal
2018	7	4	2	       	15	50	1002	Normal
2018	7	4	2	       	16	0	999	Normal
2018	7	4	2	       	16	10	1001	Normal
2018	7	4	2	       	16	20	1003	Normal
2018	7	4	2	       	16	30	998	Normal
2018	7	4	2	       	16	40	999	Normal
2018	7	4	2	       	16	50	1002	Normal
2018	7	4	2	       	17	0	1000	Normal
2018	7	4	2	       	17	10	1003	Normal
2018	7	4	2	       	17	20	998	Normal
2018	7	4	2	       	17	30	1001	Normal
2018	7	4	2	       	17	40	1002	Normal
2018	7	4	2	       	17	50	996	Normal
2018	7	4	2	       	18	0	498	Normal
2018	7	4	2	       	18	10	502	Normal
2018	7	4	2	       	18	20	498	Normal
2018	7	4	2	       	18	30	500	Normal
2018	7	4	2	       	18	40	501	Normal
2018	7	4	2	       	18	50	498	Normal
2018	7	4	2	       	19	0	501	Normal
2018	7	4	2	       	19	10	500	Normal
2018	7	4	2	       	19	20	502	Normal
2018	7	4	2	       	19	30	500	Normal
2018	7	4	2	       	19	40	501	Normal
2018	7	4	2	       	19	50	500	Normal
2018	7	4	2	       	20	0	499	Normal
2018	7	4	2	       	20	10	502	Normal
2018	7	4	2	       	20	20	500	Normal
2018	7	4	2	       	20	30	501	Normal
2018	7	4	2	       	20	40	500	Normal
2018	7	4	2	       	20	50	500	Normal
2018	7	4	2	       	21	0	501	Normal
2018	7	4	2	       	21	10	500	Normal
2018	7	4	2	       	21	20	500	Normal
2018	7	4	2	       	21	30	501	Normal
2018	7	4	2	       	21	40	499	Normal
2018	7	4	2	       	21	50	498	Normal
2018	7	4	2	       	22	0	502	Normal
2018	7	4	2	       	22	10	499	Normal
2018	7	4	2	       	22	20	497	Normal
2018	7	4	2	       	22	30	500	Normal
2018	7	4	2	       	22	40	501	Normal
2018	7	4	2	       	22	50	499	Normal
2018	7	4	2	       	23	0	501	Normal
2018	7	4	2	       	23	10	502	Normal
2018	7	4	2	       	23	20	500	Normal
2018	7	4	2	       	23	30	502	Normal
2018	7	4	2	       	23	40	500	Normal
2018	7	4	2	       	23	50	501	Normal
2018	7	5	3	       	0	0	501	Normal
2018	7	5	3	       	0	10	500	Normal
2018	7	5	3	       	0	20	499	Normal
2018	7	5	3	       	0	30	500	Normal
2018	7	5	3	       	0	40	502	Normal
2018	7	5	3	       	0	50	499	Normal
2018	7	5	3	       	1	0	500	Normal
2018	7	5	3	       	1	10	499	Normal
2018	7	5	3	       	1	20	500	Normal
2018	7	5	3	       	1	30	500	Normal
2018	7	5	3	       	1	40	501	Normal
2018	7	5	3	       	1	50	501	Normal
2018	7	5	3	       	2	0	501	Normal
2018	7	5	3	       	2	10	500	Normal
2018	7	5	3	       	2	20	500	Normal
2018	7	5	3	       	2	30	501	Normal
2018	7	5	3	       	2	40	999	Anomalia
2018	7	5	3	       	2	50	503	Normal
2018	7	5	3	       	3	0	500	Normal
2018	7	5	3	       	3	10	501	Normal
2018	7	5	3	       	3	20	499	Normal
2018	7	5	3	       	3	30	500	Normal
2018	7	5	3	       	3	40	502	Normal
2018	7	5	3	       	3	50	501	Normal
2018	7	5	3	       	4	0	498	Normal
2018	7	5	3	       	4	10	502	Normal
2018	7	5	3	       	4	20	502	Normal
2018	7	5	3	       	4	30	499	Normal
2018	7	5	3	       	4	40	501	Normal
2018	7	5	3	       	4	50	501	Normal
2018	7	5	3	       	5	0	500	Normal
2018	7	5	3	       	5	10	501	Normal
2018	7	5	3	       	5	20	501	Normal
2018	7	5	3	       	5	30	499	Normal
2018	7	5	3	       	5	40	498	Normal
2018	7	5	3	       	5	50	500	Normal
2018	7	5	3	       	6	0	497	Normal
2018	7	5	3	       	6	10	501	Normal
2018	7	5	3	       	6	20	498	Normal
2018	7	5	3	       	6	30	501	Normal
2018	7	5	3	       	6	40	499	Normal
2018	7	5	3	       	6	50	501	Normal
2018	7	5	3	       	7	0	999	Normal
2018	7	5	3	       	7	10	998	Normal
2018	7	5	3	       	7	20	1001	Normal
2018	7	5	3	       	7	30	998	Normal
2018	7	5	3	       	7	40	1001	Normal
2018	7	5	3	       	7	50	1003	Normal
2018	7	5	3	       	8	0	1000	Normal
2018	7	5	3	       	8	10	1005	Normal
2018	7	5	3	       	8	20	1002	Normal
2018	7	5	3	       	8	30	1001	Normal
2018	7	5	3	       	8	40	999	Normal
2018	7	5	3	       	8	50	996	Normal
2018	7	5	3	       	9	0	1003	Normal
2018	7	5	3	       	9	10	997	Normal
2018	7	5	3	       	9	20	998	Normal
2018	7	5	3	       	9	30	999	Normal
2018	7	5	3	       	9	40	1003	Normal
2018	7	5	3	       	9	50	1004	Normal
2018	7	5	3	       	10	0	999	Normal
2018	7	5	3	       	10	10	996	Normal
2018	7	5	3	       	10	20	998	Normal
2018	7	5	3	       	10	30	997	Normal
2018	7	5	3	       	10	40	1001	Normal
2018	7	5	3	       	10	50	1000	Normal
2018	7	5	3	       	11	0	1001	Normal
2018	7	5	3	       	11	10	999	Normal
2018	7	5	3	       	11	20	1001	Normal
2018	7	5	3	       	11	30	1001	Normal
2018	7	5	3	       	11	40	1002	Normal
2018	7	5	3	       	11	50	999	Normal
2018	7	5	3	       	12	0	1000	Normal
2018	7	5	3	       	12	10	999	Normal
2018	7	5	3	       	12	20	997	Normal
2018	7	5	3	       	12	30	997	Normal
2018	7	5	3	       	12	40	1001	Normal
2018	7	5	3	       	12	50	1002	Normal
2018	7	5	3	       	13	0	1001	Normal
2018	7	5	3	       	13	10	1002	Normal
2018	7	5	3	       	13	20	1002	Normal
2018	7	5	3	       	13	30	999	Normal
2018	7	5	3	       	13	40	1000	Normal
2018	7	5	3	       	13	50	1003	Normal
2018	7	5	3	       	14	0	1001	Normal
2018	7	5	3	       	14	10	999	Normal
2018	7	5	3	       	14	20	1000	Normal
2018	7	5	3	       	14	30	997	Normal
2018	7	5	3	       	14	40	999	Normal
2018	7	5	3	       	14	50	998	Normal
2018	7	5	3	       	15	0	1004	Normal
2018	7	5	3	       	15	10	1002	Normal
2018	7	5	3	       	15	20	995	Normal
2018	7	5	3	       	15	30	1001	Normal
2018	7	5	3	       	15	40	1002	Normal
2018	7	5	3	       	15	50	998	Normal
2018	7	5	3	       	16	0	997	Normal
2018	7	5	3	       	16	10	1000	Normal
2018	7	5	3	       	16	20	994	Normal
2018	7	5	3	       	16	30	997	Normal
2018	7	5	3	       	16	40	1000	Normal
2018	7	5	3	       	16	50	997	Normal
2018	7	5	3	       	17	0	1002	Normal
2018	7	5	3	       	17	10	1006	Normal
2018	7	5	3	       	17	20	1002	Normal
2018	7	5	3	       	17	30	1001	Normal
2018	7	5	3	       	17	40	1000	Normal
2018	7	5	3	       	17	50	996	Normal
2018	7	5	3	       	18	0	499	Normal
2018	7	5	3	       	18	10	498	Normal
2018	7	5	3	       	18	20	501	Normal
2018	7	5	3	       	18	30	500	Normal
2018	7	5	3	       	18	40	500	Normal
2018	7	5	3	       	18	50	501	Normal
2018	7	5	3	       	19	0	499	Normal
2018	7	5	3	       	19	10	501	Normal
2018	7	5	3	       	19	20	500	Normal
2018	7	5	3	       	19	30	502	Normal
2018	7	5	3	       	19	40	501	Normal
2018	7	5	3	       	19	50	499	Normal
2018	7	5	3	       	20	0	498	Normal
2018	7	5	3	       	20	10	499	Normal
2018	7	5	3	       	20	20	501	Normal
2018	7	5	3	       	20	30	502	Normal
2018	7	5	3	       	20	40	500	Normal
2018	7	5	3	       	20	50	501	Normal
2018	7	5	3	       	21	0	499	Normal
2018	7	5	3	       	21	10	499	Normal
2018	7	5	3	       	21	20	498	Normal
2018	7	5	3	       	21	30	503	Normal
2018	7	5	3	       	21	40	500	Normal
2018	7	5	3	       	21	50	500	Normal
2018	7	5	3	       	22	0	497	Normal
2018	7	5	3	       	22	10	501	Normal
2018	7	5	3	       	22	20	499	Normal
2018	7	5	3	       	22	30	500	Normal
2018	7	5	3	       	22	40	501	Normal
2018	7	5	3	       	22	50	499	Normal
2018	7	5	3	       	23	0	500	Normal
2018	7	5	3	       	23	10	501	Normal
2018	7	5	3	       	23	20	499	Normal
2018	7	5	3	       	23	30	501	Normal
2018	7	5	3	       	23	40	501	Normal
2018	7	5	3	       	23	50	498	Normal
2018	7	6	4	       	0	0	499	Normal
2018	7	6	4	       	0	10	502	Normal
2018	7	6	4	       	0	20	499	Normal
2018	7	6	4	       	0	30	500	Normal
2018	7	6	4	       	0	40	499	Normal
2018	7	6	4	       	0	50	501	Normal
2018	7	6	4	       	1	0	501	Normal
2018	7	6	4	       	1	10	502	Normal
2018	7	6	4	       	1	20	499	Normal
2018	7	6	4	       	1	30	499	Normal
2018	7	6	4	       	1	40	500	Normal
2018	7	6	4	       	1	50	498	Normal
2018	7	6	4	       	2	0	499	Normal
2018	7	6	4	       	2	10	499	Normal
2018	7	6	4	       	2	20	500	Normal
2018	7	6	4	       	2	30	500	Normal
2018	7	6	4	       	2	40	501	Normal
2018	7	6	4	       	2	50	500	Normal
2018	7	6	4	       	3	0	499	Normal
2018	7	6	4	       	3	10	499	Normal
2018	7	6	4	       	3	20	498	Normal
2018	7	6	4	       	3	30	500	Normal
2018	7	6	4	       	3	40	500	Normal
2018	7	6	4	       	3	50	501	Normal
2018	7	6	4	       	4	0	499	Normal
2018	7	6	4	       	4	10	502	Normal
2018	7	6	4	       	4	20	500	Normal
2018	7	6	4	       	4	30	499	Normal
2018	7	6	4	       	4	40	500	Normal
2018	7	6	4	       	4	50	498	Normal
2018	7	6	4	       	5	0	501	Normal
2018	7	6	4	       	5	10	499	Normal
2018	7	6	4	       	5	20	500	Normal
2018	7	6	4	       	5	30	500	Normal
2018	7	6	4	       	5	40	500	Normal
2018	7	6	4	       	5	50	499	Normal
2018	7	6	4	       	6	0	501	Normal
2018	7	6	4	       	6	10	498	Normal
2018	7	6	4	       	6	20	500	Normal
2018	7	6	4	       	6	30	501	Normal
2018	7	6	4	       	6	40	500	Normal
2018	7	6	4	       	6	50	500	Normal
2018	7	6	4	       	7	0	1000	Normal
2018	7	6	4	       	7	10	996	Normal
2018	7	6	4	       	7	20	1003	Normal
2018	7	6	4	       	7	30	1002	Normal
2018	7	6	4	       	7	40	1001	Normal
2018	7	6	4	       	7	50	998	Normal
2018	7	6	4	       	8	0	1002	Normal
2018	7	6	4	       	8	10	1003	Normal
2018	7	6	4	       	8	20	997	Normal
2018	7	6	4	       	8	30	999	Normal
2018	7	6	4	       	8	40	998	Normal
2018	7	6	4	       	8	50	1000	Normal
2018	7	6	4	       	9	0	1002	Normal
2018	7	6	4	       	9	10	999	Normal
2018	7	6	4	       	9	20	1003	Normal
2018	7	6	4	       	9	30	999	Normal
2018	7	6	4	       	9	40	1003	Normal
2018	7	6	4	       	9	50	998	Normal
2018	7	6	4	       	10	0	999	Normal
2018	7	6	4	       	10	10	1001	Normal
2018	7	6	4	       	10	20	1000	Normal
2018	7	6	4	       	10	30	998	Normal
2018	7	6	4	       	10	40	1003	Normal
2018	7	6	4	       	10	50	998	Normal
2018	7	6	4	       	11	0	1005	Normal
2018	7	6	4	       	11	10	994	Normal
2018	7	6	4	       	11	20	1001	Normal
2018	7	6	4	       	11	30	997	Normal
2018	7	6	4	       	11	40	1000	Normal
2018	7	6	4	       	11	50	1001	Normal
2018	7	6	4	       	12	0	997	Normal
2018	7	6	4	       	12	10	999	Normal
2018	7	6	4	       	12	20	1002	Normal
2018	7	6	4	       	12	30	1000	Normal
2018	7	6	4	       	12	40	1002	Normal
2018	7	6	4	       	12	50	998	Normal
2018	7	6	4	       	13	0	1001	Normal
2018	7	6	4	       	13	10	1003	Normal
2018	7	6	4	       	13	20	1000	Normal
2018	7	6	4	       	13	30	1000	Normal
2018	7	6	4	       	13	40	1000	Normal
2018	7	6	4	       	13	50	998	Normal
2018	7	6	4	       	14	0	1003	Normal
2018	7	6	4	       	14	10	1000	Normal
2018	7	6	4	       	14	20	998	Normal
2018	7	6	4	       	14	30	1001	Normal
2018	7	6	4	       	14	40	1002	Normal
2018	7	6	4	       	14	50	1003	Normal
2018	7	6	4	       	15	0	999	Normal
2018	7	6	4	       	15	10	1003	Normal
2018	7	6	4	       	15	20	995	Normal
2018	7	6	4	       	15	30	1002	Normal
2018	7	6	4	       	15	40	1002	Normal
2018	7	6	4	       	15	50	998	Normal
2018	7	6	4	       	16	0	1000	Normal
2018	7	6	4	       	16	10	1001	Normal
2018	7	6	4	       	16	20	999	Normal
2018	7	6	4	       	16	30	997	Normal
2018	7	6	4	       	16	40	1002	Normal
2018	7	6	4	       	16	50	998	Normal
2018	7	6	4	       	17	0	1004	Normal
2018	7	6	4	       	17	10	1002	Normal
2018	7	6	4	       	17	20	1004	Normal
2018	7	6	4	       	17	30	1003	Normal
2018	7	6	4	       	17	40	998	Normal
2018	7	6	4	       	17	50	1001	Normal
2018	7	6	4	       	18	0	500	Normal
2018	7	6	4	       	18	10	499	Normal
2018	7	6	4	       	18	20	500	Normal
2018	7	6	4	       	18	30	498	Normal
2018	7	6	4	       	18	40	499	Normal
2018	7	6	4	       	18	50	499	Normal
2018	7	6	4	       	19	0	499	Normal
2018	7	6	4	       	19	10	499	Normal
2018	7	6	4	       	19	20	500	Normal
2018	7	6	4	       	19	30	501	Normal
2018	7	6	4	       	19	40	499	Normal
2018	7	6	4	       	19	50	498	Normal
2018	7	6	4	       	20	0	501	Normal
2018	7	6	4	       	20	10	498	Normal
2018	7	6	4	       	20	20	500	Normal
2018	7	6	4	       	20	30	499	Normal
2018	7	6	4	       	20	40	500	Normal
2018	7	6	4	       	20	50	499	Normal
2018	7	6	4	       	21	0	498	Normal
2018	7	6	4	       	21	10	498	Normal
2018	7	6	4	       	21	20	499	Normal
2018	7	6	4	       	21	30	499	Normal
2018	7	6	4	       	21	40	498	Normal
2018	7	6	4	       	21	50	500	Normal
2018	7	6	4	       	22	0	501	Normal
2018	7	6	4	       	22	10	500	Normal
2018	7	6	4	       	22	20	500	Normal
2018	7	6	4	       	22	30	501	Normal
2018	7	6	4	       	22	40	498	Normal
2018	7	6	4	       	22	50	499	Normal
2018	7	6	4	       	23	0	500	Normal
2018	7	6	4	       	23	10	501	Normal
2018	7	6	4	       	23	20	499	Normal
2018	7	6	4	       	23	30	500	Normal
2018	7	6	4	       	23	40	499	Normal
2018	7	6	4	       	23	50	500	Normal
2018	7	7	5	       	0	0	596	Normal
2018	7	7	5	       	0	10	600	Normal
2018	7	7	5	       	0	20	598	Normal
2018	7	7	5	       	0	30	599	Normal
2018	7	7	5	       	0	40	603	Normal
2018	7	7	5	       	0	50	601	Normal
2018	7	7	5	       	1	0	603	Normal
2018	7	7	5	       	1	10	602	Normal
2018	7	7	5	       	1	20	600	Normal
2018	7	7	5	       	1	30	600	Normal
2018	7	7	5	       	1	40	601	Normal
2018	7	7	5	       	1	50	600	Normal
2018	7	7	5	       	2	0	598	Normal
2018	7	7	5	       	2	10	601	Normal
2018	7	7	5	       	2	20	600	Normal
2018	7	7	5	       	2	30	601	Normal
2018	7	7	5	       	2	40	598	Normal
2018	7	7	5	       	2	50	599	Normal
2018	7	7	5	       	3	0	600	Normal
2018	7	7	5	       	3	10	600	Normal
2018	7	7	5	       	3	20	601	Normal
2018	7	7	5	       	3	30	600	Normal
2018	7	7	5	       	3	40	598	Normal
2018	7	7	5	       	3	50	600	Normal
2018	7	7	5	       	4	0	600	Normal
2018	7	7	5	       	4	10	598	Normal
2018	7	7	5	       	4	20	600	Normal
2018	7	7	5	       	4	30	600	Normal
2018	7	7	5	       	4	40	604	Normal
2018	7	7	5	       	4	50	598	Normal
2018	7	7	5	       	5	0	602	Normal
2018	7	7	5	       	5	10	600	Normal
2018	7	7	5	       	5	20	604	Normal
2018	7	7	5	       	5	30	600	Normal
2018	7	7	5	       	5	40	600	Normal
2018	7	7	5	       	5	50	598	Normal
2018	7	7	5	       	6	0	600	Normal
2018	7	7	5	       	6	10	603	Normal
2018	7	7	5	       	6	20	600	Normal
2018	7	7	5	       	6	30	601	Normal
2018	7	7	5	       	6	40	603	Normal
2018	7	7	5	       	6	50	601	Normal
2018	7	7	5	       	7	0	601	Normal
2018	7	7	5	       	7	10	600	Normal
2018	7	7	5	       	7	20	601	Normal
2018	7	7	5	       	7	30	601	Normal
2018	7	7	5	       	7	40	602	Normal
2018	7	7	5	       	7	50	600	Normal
2018	7	7	5	       	8	0	600	Normal
2018	7	7	5	       	8	10	597	Normal
2018	7	7	5	       	8	20	600	Normal
2018	7	7	5	       	8	30	599	Normal
2018	7	7	5	       	8	40	602	Normal
2018	7	7	5	       	8	50	598	Normal
2018	7	7	5	       	9	0	598	Normal
2018	7	7	5	       	9	10	600	Normal
2018	7	7	5	       	9	20	600	Normal
2018	7	7	5	       	9	30	600	Normal
2018	7	7	5	       	9	40	601	Normal
2018	7	7	5	       	9	50	601	Normal
2018	7	7	5	       	10	0	600	Normal
2018	7	7	5	       	10	10	601	Normal
2018	7	7	5	       	10	20	600	Normal
2018	7	7	5	       	10	30	600	Normal
2018	7	7	5	       	10	40	600	Normal
2018	7	7	5	       	10	50	601	Normal
2018	7	7	5	       	11	0	601	Normal
2018	7	7	5	       	11	10	600	Normal
2018	7	7	5	       	11	20	598	Normal
2018	7	7	5	       	11	30	600	Normal
2018	7	7	5	       	11	40	600	Normal
2018	7	7	5	       	11	50	598	Normal
2018	7	7	5	       	12	0	598	Normal
2018	7	7	5	       	12	10	600	Normal
2018	7	7	5	       	12	20	601	Normal
2018	7	7	5	       	12	30	600	Normal
2018	7	7	5	       	12	40	598	Normal
2018	7	7	5	       	12	50	600	Normal
2018	7	7	5	       	13	0	601	Normal
